text,emotion
No tengo tiempo para disfrutar de la vida,estrés
Siento que no puedo escapar del estrés,estrés
Estoy agotado física y mentalmente,estrés
No tengo tiempo para nada,estrés
Siento que siempre estoy bajo presión,estrés
Estoy preocupado por el futuro,estrés
No puedo desconectar de mis problemas,estrés
Siento que todo es demasiado abrumador,estrés
Estoy al límite de mi capacidad,estrés
No puedo relajarme ni un momento,estrés
Siento que todo es una urgencia,estrés
Estoy siempre estresado,estrés
No tengo tiempo para descansar,estrés
Siento que no puedo manejar tanto estrés,estrés
Estoy preocupado por mis responsabilidades,estrés
No puedo encontrar un momento de paz,estrés
Siento que todo es una carga,estrés
Estoy agotado y estresado,estrés
No tengo tiempo para disfrutar de la vida,estrés
Siento que no puedo manejar todo esto,estrés
Estoy atrapado en un ciclo de estrés,estrés
No tengo tiempo para nada,estrés
Siento que estoy al borde del abismo,estrés
Estoy al límite de mis fuerzas,estrés
No puedo encontrar un momento de tranquilidad,estrés
Siento que no puedo respirar,estrés
Estoy preocupado por todo,estrés
No tengo tiempo para descansar,estrés
Siento que todo se me escapa de las manos,estrés
Estoy al límite de mi capacidad,estrés
No puedo desconectar del trabajo,estrés
Siento que todo es una carga,estrés
Estoy siempre bajo presión,estrés
Siento una presión en el pecho,angustia
No puedo dejar de pensar en lo que podría salir mal,angustia
Estoy lleno de miedo e incertidumbre,angustia
No puedo dormir todo me angustia,angustia
Siento que no puedo respirar,angustia
Cada pequeño problema se convierte en una montaña,angustia
Estoy en constante estado de alerta,angustia
No sé cómo manejar todos mis pensamientos,angustia
Siento que todo me supera,angustia
Estoy constantemente preocupado por todo,angustia
No puedo escapar de esta sensación,angustia
Mi corazón late muy rápido,angustia
Me siento atrapado en mis pensamientos,angustia
No puedo encontrar paz en ningún lugar,angustia
Siento un nudo en el estómago,angustia
Estoy lleno de dudas y temores,angustia
Cada día es una lucha,angustia
No puedo parar de pensar en lo peor,angustia
Siento que todo está fuera de control,angustia
Mis pensamientos no me dejan en paz,angustia
Me siento completamente abrumado,angustia
No puedo ver una solución a mis problemas,angustia
Siento que no puedo salir de este círculo,angustia
Estoy lleno de inquietud,angustia
Cada vez que intento relajarme algo me angustia,angustia
Siento una presión constante en mi pecho,angustia
No puedo dejar de pensar en lo negativo,angustia
Estoy a punto de colapsar,angustia
No puedo encontrar tranquilidad,angustia
Mis pensamientos son un caos,angustia
Siento que todo es un gran problema,angustia
Estoy siempre alerta,angustia
No puedo controlar mis emociones,angustia
Siento que no puedo manejar todo esto,angustia
Cada día es un desafío,angustia
No puedo dejar de pensar en el futuro,angustia
Mis miedos me consumen,angustia
No puedo encontrar una salida,angustia
Siento que todo es demasiado,angustia
Estoy atrapado en una espiral de ansiedad,angustia
Cada pequeño problema me abruma,angustia
Mis pensamientos son un tormento,angustia
No puedo escapar de esta angustia,angustia
Siento que estoy perdiendo el control,angustia
No puedo encontrar paz mental,angustia
Mis miedos me paralizan,angustia
Siento que todo es una gran carga,angustia
Estoy lleno de dudas y ansiedades,angustia
No puedo dejar de pensar en lo peor,angustia
Cada día es más difícil,angustia
Siento que no puedo respirar,angustia
Mis pensamientos me atormentan,angustia
Estoy atrapado en un ciclo de preocupación,angustia
No puedo manejar todo esto,angustia
Siento que todo es un desastre,angustia
Mis emociones son un caos,angustia
Estoy en un estado constante de preocupación,angustia
No puedo encontrar alivio,angustia
Mis miedos me rodean,angustia
Siento que todo es una tormenta,angustia
Estoy lleno de preocupaciones,angustia
No puedo encontrar una solución,angustia
Mis pensamientos son una fuente de angustia,angustia
Siento que todo me supera,angustia
No puedo dejar de pensar en lo malo,angustia
Mis miedos me ahogan,angustia
Siento que no puedo más,angustia
Estoy en un estado constante de inquietud,angustia
No puedo encontrar un momento de calma,angustia
Mis pensamientos son una trampa,angustia
Siento que todo es una pesadilla,angustia
No puedo controlar mis miedos,angustia
Mis emociones me desbordan,angustia
Siento que todo es una carga,angustia
Estoy atrapado en mi propio miedo,angustia
No puedo encontrar paz en mi mente,angustia
Mis miedos me paralizan,angustia
Siento que todo es una presión constante,angustia
No puedo dejar de pensar en lo peor,angustia
Mis pensamientos me atormentan,angustia
Estoy siempre en alerta,angustia
Siento que no puedo respirar bien,angustia
Mis miedos me consumen,angustia
No puedo ver una salida,angustia
Siento que todo es demasiado difícil,angustia
Mis pensamientos son un tormento constante,angustia
Estoy atrapado en una espiral de ansiedad,angustia
Siento que no puedo salir de este estado,angustia
Mis miedos me ahogan,angustia
No puedo encontrar una solución,angustia
Mis pensamientos me atrapan,angustia
Siento que todo es una carga pesada,angustia
No puedo encontrar tranquilidad,angustia
Mis emociones me desbordan,angustia
Siento que todo me supera,angustia
Estoy en un estado constante de preocupación,angustia
No puedo encontrar paz mental,angustia
Mis miedos me paralizan,angustia
Siento que todo es un caos,angustia
Estoy lleno de inquietud,angustia
No puedo manejar todo esto,angustia
Siento que todo es una gran presión,angustia
Mis pensamientos son una tormenta,angustia
Estoy atrapado en un ciclo de angustia,angustia
No puedo dejar de pensar en lo negativo,angustia
Mis miedos me consumen,angustia
Siento que todo es una pesadilla,angustia
Estoy siempre en alerta,angustia
No puedo encontrar un momento de calma,angustia
Mis emociones me desbordan,angustia
Siento que todo me supera,angustia
Estoy atrapado en mis propios pensamientos,angustia
No puedo controlar mi ansiedad,angustia
Mis miedos me rodean,angustia
Siento que todo es una tormenta constante,angustia
Estoy lleno de preocupaciones,angustia
No puedo ver una salida,angustia
Mis pensamientos son una fuente de angustia,angustia
Siento que todo es demasiado,angustia
No puedo dejar de pensar en lo peor,angustia
Mis miedos me ahogan,angustia
Siento que no puedo más,angustia
Estoy en un estado constante de inquietud,angustia
No puedo encontrar un momento de calma,angustia
Mis pensamientos son una trampa,angustia
Siento que todo es una pesadilla,angustia
No puedo controlar mis miedos,angustia
Mis emociones me desbordan,angustia
Siento que todo es una carga,angustia
Estoy atrapado en mi propio miedo,angustia
No puedo encontrar paz en mi mente,angustia
Mis miedos me paralizan,angustia
Siento que todo es una presión constante,angustia
No puedo dejar de pensar en lo peor,angustia
Mis pensamientos me atormentan,angustia
Estoy siempre en alerta,angustia
Siento que no puedo respirar bien,angustia
Mis miedos me consumen,angustia
No puedo ver una salida,angustia
Siento que todo es demasiado difícil,angustia
Mis pensamientos son un tormento constante,angustia
Estoy atrapado en una espiral de ansiedad,angustia
Siento que no puedo salir de este estado,angustia
Mis miedos me ahogan,angustia
No puedo encontrar una solución,angustia
Mis pensamientos me atrapan,angustia
Siento que todo es una carga pesada,angustia
No puedo encontrar tranquilidad,angustia
Mis emociones me desbordan,angustia
Siento que todo me supera,angustia
Estoy en un estado constante de preocupación,angustia
No puedo encontrar paz mental,angustia
Mis miedos me paralizan,angustia
Siento que todo es un caos,angustia
Estoy lleno de inquietud,angustia
No puedo manejar todo esto,angustia
Siento que todo es una gran presión,angustia
Mis pensamientos son una tormenta,angustia
Estoy atrapado en un ciclo de angustia,angustia
No puedo dejar de pensar en lo negativo,angustia
Mis miedos me consumen,angustia
Siento que mi corazón late muy rápido,ansiedad
No puedo dejar de preocuparme por todo,ansiedad
Me siento en constante estado de alerta,ansiedad
No puedo dormir por la ansiedad,ansiedad
Siento que algo malo va a pasar,ansiedad
Estoy siempre nervioso y tenso,ansiedad
No puedo relajarme en ningún momento,ansiedad
Me duele el estómago de la ansiedad,ansiedad
Siento que no puedo respirar bien,ansiedad
Estoy constantemente preocupado por el futuro,ansiedad
No puedo dejar de pensar en todas las cosas que podrían salir mal,ansiedad
Estoy lleno de miedo y preocupación,ansiedad
Siento que estoy perdiendo el control,ansiedad
No puedo dejar de temblar,ansiedad
Estoy atrapado en mis propios pensamientos,ansiedad
Siento una opresión en el pecho,ansiedad
Estoy siempre al borde de un ataque de pánico,ansiedad
No puedo concentrarme en nada,ansiedad
Estoy constantemente inquieto,ansiedad
Siento que algo terrible va a suceder,ansiedad
Estoy preocupado por cosas que no puedo controlar,ansiedad
No puedo encontrar un momento de paz,ansiedad
Siento que mi mente no puede descansar,ansiedad
Estoy atrapado en un ciclo de ansiedad,ansiedad
No puedo dejar de sentirme ansioso,ansiedad
Estoy constantemente en alerta máxima,ansiedad
Siento que mi cuerpo está en estado de emergencia,ansiedad
No puedo dejar de sudar,ansiedad
Estoy lleno de pensamientos negativos,ansiedad
Siento que no puedo escapar de esta sensación,ansiedad
Estoy siempre preocupado por mi salud,ansiedad
No puedo dejar de pensar en todos los peligros,ansiedad
Siento que estoy perdiendo el control de mi vida,ansiedad
Estoy constantemente inquieto y nervioso,ansiedad
No puedo dejar de morderme las uñas,ansiedad
Estoy preocupado por cosas que podrían pasar,ansiedad
Siento que no puedo respirar profundamente,ansiedad
Estoy siempre en alerta por cualquier cosa,ansiedad
No puedo dejar de preocuparme por mi familia,ansiedad
Siento que mi mente no puede relajarse,ansiedad
Estoy atrapado en una espiral de ansiedad,ansiedad
No puedo dejar de pensar en lo peor,ansiedad
Estoy lleno de preocupaciones y temores,ansiedad
Siento que no puedo controlar mis pensamientos,ansiedad
Estoy siempre nervioso por todo,ansiedad
No puedo encontrar tranquilidad en ningún lugar,ansiedad
Siento que mi cuerpo está en constante tensión,ansiedad
Estoy preocupado por el futuro constantemente,ansiedad
No puedo dejar de sentirme ansioso por todo,ansiedad
Estoy atrapado en mis propias preocupaciones,ansiedad
Siento que mi mente no puede detenerse,ansiedad
Estoy siempre en alerta máxima por cualquier cosa,ansiedad
No puedo dejar de pensar en todas las cosas malas,ansiedad
Estoy lleno de miedo y ansiedad,ansiedad
Siento que no puedo controlar mi ansiedad,ansiedad
Estoy siempre preocupado por lo que pueda pasar,ansiedad
No puedo encontrar un momento de paz mental,ansiedad
Siento que mi cuerpo está en un estado de emergencia constante,ansiedad
Estoy atrapado en un ciclo de preocupación,ansiedad
No puedo dejar de sentirme ansioso por mi trabajo,ansiedad
Estoy preocupado por mi salud todo el tiempo,ansiedad
Siento que no puedo escapar de mi ansiedad,ansiedad
Estoy siempre en alerta por cualquier cosa que pueda pasar,ansiedad
No puedo dejar de preocuparme por el dinero,ansiedad
Siento que mi mente está siempre en estado de emergencia,ansiedad
Estoy lleno de pensamientos negativos y miedos,ansiedad
Siento que no puedo controlar mis emociones,ansiedad
Estoy siempre nervioso y preocupado,ansiedad
No puedo encontrar tranquilidad en ningún lugar,ansiedad
Siento que mi cuerpo está en constante estado de alerta,ansiedad
Estoy preocupado por el futuro constantemente,ansiedad
No puedo dejar de sentirme ansioso por mi familia,ansiedad
Estoy atrapado en mis propias preocupaciones y miedos,ansiedad
Siento que mi mente no puede descansar ni un momento,ansiedad
Estoy siempre en alerta máxima por cualquier cosa,ansiedad
No puedo dejar de pensar en todos los peligros,ansiedad
Estoy lleno de miedo y preocupación constante,ansiedad
Siento que no puedo controlar mi ansiedad en absoluto,ansiedad
Estoy siempre preocupado por lo que pueda pasar,ansiedad
No puedo encontrar un momento de paz mental en ningún lugar,ansiedad
Siento que mi cuerpo está en estado de emergencia constante,ansiedad
Estoy atrapado en un ciclo de preocupación sin fin,ansiedad
No puedo dejar de sentirme ansioso por mi trabajo,ansiedad
Estoy preocupado por mi salud todo el tiempo,ansiedad
Siento que no puedo escapar de mi ansiedad ni un momento,ansiedad
Estoy siempre en alerta por cualquier cosa que pueda pasar,ansiedad
No puedo dejar de preocuparme por el dinero y las deudas,ansiedad
Siento que mi mente está siempre en estado de emergencia,ansiedad
Estoy lleno de pensamientos negativos y temores,ansiedad
Siento que no puedo controlar mis emociones,ansiedad
Estoy siempre nervioso y preocupado por todo,ansiedad
No puedo encontrar tranquilidad en ningún lugar,ansiedad
Siento que mi cuerpo está en constante estado de alerta,ansiedad
Estoy preocupado por el futuro constantemente,ansiedad
No puedo dejar de sentirme ansioso por mi familia,ansiedad
Estoy atrapado en mis propias preocupaciones y miedos,ansiedad
Siento que mi mente no puede descansar ni un momento,ansiedad
Estoy siempre en alerta máxima por cualquier cosa,ansiedad
No puedo dejar de pensar en todos los peligros,ansiedad
Estoy lleno de miedo y preocupación constante,ansiedad
Siento que no puedo controlar mi ansiedad en absoluto,ansiedad
